Date,Category,Category Group,Amount,Year,Month
2025-01-30,SHOPRITE,Supplies,244.93,2025,1
2025-01-30,SPICE AND PACK,Other Expenses,7157.54,2025,1
2025-01-30,WASI,Raw Materials,6857.43,2025,1
2025-01-31,ELECTRICITY,Utilities,1500.0,2025,1
2025-01-31,FUEL/TOLL,Transportation,743.79,2025,1
2025-01-31,OTHER,Other Expenses,30.0,2025,1
2025-02-01,FUEL/TOLL,Transportation,800.16,2025,2
2025-02-01,OTHER,Other Expenses,242.34,2025,2
2025-02-01,WAGES,Labor,6900.0,2025,2
2025-02-01,WASI,Raw Materials,6232.66,2025,2
2025-02-03,FUEL/TOLL,Transportation,800.0,2025,2
2025-02-03,OTHER,Other Expenses,90.0,2025,2
2025-02-03,WASI,Raw Materials,6436.48,2025,2
2025-02-04,FUEL/TOLL,Transportation,958.0,2025,2
2025-02-04,OTHER,Other Expenses,250.0,2025,2
2025-02-04,SHOPRITE,Supplies,349.9,2025,2
2025-02-04,T/BANTU SWEETS,Raw Materials,184.0,2025,2
2025-02-04,WASI,Raw Materials,6891.5,2025,2
2025-02-05,CHIPKINS,Raw Materials,24863.0,2025,2
2025-02-05,FUEL/TOLL,Transportation,800.0,2025,2
2025-02-06,FUEL/TOLL,Transportation,800.0,2025,2
2025-02-06,HYPER SWEETS,Raw Materials,1200.0,2025,2
2025-02-06,MAKRO,Supplies,509.8,2025,2
2025-02-06,OTHER,Other Expenses,439.98,2025,2
2025-02-06,SHOPRITE,Supplies,279.92,2025,2
2025-02-06,SPICE AND PACK,Other Expenses,7157.54,2025,2
2025-02-06,WASI,Raw Materials,6696.61,2025,2
2025-02-07,FUEL/TOLL,Transportation,800.0,2025,2
2025-02-07,OTHER,Other Expenses,6000.0,2025,2
2025-02-08,OTHER,Other Expenses,872.7,2025,2
2025-02-08,WAGES,Labor,18755.0,2025,2
2025-02-09,ELECTRICITY,Utilities,1500.0,2025,2
2025-02-09,SHOPRITE,Supplies,314.91,2025,2
2025-02-09,WASI,Raw Materials,7082.37,2025,2
2025-02-10,ELECTRICITY,Utilities,2402.44,2025,2
2025-02-10,OTHER,Other Expenses,517.98,2025,2
2025-02-10,SHOPRITE,Supplies,349.9,2025,2
2025-02-10,WASI,Raw Materials,5966.55,2025,2
2025-02-11,CAVALIERI,Other Expenses,575.0,2025,2
2025-02-11,FUEL/TOLL,Transportation,1898.27,2025,2
2025-02-11,MAKRO,Supplies,549.0,2025,2
2025-02-11,OTHER,Other Expenses,650.0,2025,2
2025-02-11,SHOPRITE,Supplies,449.89,2025,2
2025-02-11,T/BANTU SWEETS,Raw Materials,90.0,2025,2
2025-02-11,WASI,Raw Materials,8105.45,2025,2
2025-02-12,FUEL/TOLL,Transportation,800.0,2025,2
2025-02-12,OTHER,Other Expenses,2280.61,2025,2
2025-02-13,CHIPKINS,Raw Materials,1840.0,2025,2
2025-02-13,FUEL/TOLL,Transportation,800.0,2025,2
2025-02-13,OTHER,Other Expenses,7157.54,2025,2
2025-02-13,SHOPRITE,Supplies,756.18,2025,2
2025-02-13,WASI,Raw Materials,7583.59,2025,2
2025-02-14,FUEL/TOLL,Transportation,1600.0,2025,2
2025-02-14,MAKRO,Supplies,679.8,2025,2
2025-02-14,OTHER,Other Expenses,70.0,2025,2
2025-02-15,FUEL/TOLL,Transportation,800.0,2025,2
2025-02-15,WASI,Raw Materials,8739.46,2025,2
2025-02-16,ELECTRICITY,Utilities,1500.0,2025,2
2025-02-16,FUEL/TOLL,Transportation,1228.9,2025,2
2025-02-16,OTHER,Other Expenses,97.98,2025,2
2025-02-16,SHOPRITE,Supplies,189.94,2025,2
2025-02-17,FUEL/TOLL,Transportation,1750.63,2025,2
2025-02-17,OTHER,Other Expenses,256.0,2025,2
2025-02-17,SHOPRITE,Supplies,600.99,2025,2
2025-02-17,T/BANTU SWEETS,Raw Materials,90.0,2025,2
2025-02-17,WASI,Raw Materials,8418.52,2025,2
2025-02-18,OTHER,Other Expenses,205.96,2025,2
2025-02-19,CHIPKINS,Raw Materials,26460.13,2025,2
