Week,Year,Store,CakeType,Delivered,DeliveryAmount
7 - 13 APR 2025,2025,MIDDELBRUG CHECKERS,CHOCOLATE,24.0,2704.8
7 - 13 APR 2025,2025,MIDDELBRUG CHECKERS,VANILLA,10.0,1127.0
7 - 13 APR 2025,2025,MIDDELBRUG CHECKERS,CARROT,10.0,1196.0
7 - 13 APR 2025,2025,ERMELO CHECKERS,CHOCOLATE,44.0,4958.8
7 - 13 APR 2025,2025,ERMELO CHECKERS,VANILLA,10.0,1127.0
7 - 13 APR 2025,2025,ERMELO CHECKERS,CARROT,10.0,1196.0
7 - 13 APR 2025,2025,ERMELO MERINO MALL,CHOCOLATE,24.0,2704.8
7 - 13 APR 2025,2025,ERMELO MERINO MALL,VANILLA,8.0,901.6
7 - 13 APR 2025,2025,ERMELO MERINO MALL,CARROT,10.0,1196.0
7 - 13 APR 2025,2025,SAVEWAYS,CHOCOLATE,24.0,2704.8
7 - 13 APR 2025,2025,SAVEWAYS,VANILLA,10.0,1127.0
7 - 13 APR 2025,2025,SAVEWAYS,CARROT,10.0,1196.0
7 - 13 APR 2025,2025,KLIPFONTEIN,CHOCOLATE,25.0,2817.5
7 - 13 APR 2025,2025,KLIPFONTEIN,VANILLA,10.0,1127.0
7 - 13 APR 2025,2025,KLIPFONTEIN,CARROT,10.0,1196.0
7 - 13 APR 2025,2025,BARBERTON PNP,CHOCOLATE,58.0,5800.0
7 - 13 APR 2025,2025,BARBERTON PNP,VANILLA,32.0,3200.0
7 - 13 APR 2025,2025,BARBERTON PNP,COFFEE,26.0,2600.0
7 - 13 APR 2025,2025,BARBERTON PNP,CARROT,34.0,3400.0
7 - 13 APR 2025,2025,BARBERTON PNP,DARKM,45.0,4500.0
7 - 13 APR 2025,2025,PLAZA SPAR,CHOCOLATE,5.0,600.0
7 - 13 APR 2025,2025,PLAZA SPAR,VANILLA,2.0,240.0
7 - 13 APR 2025,2025,PLAZA SPAR,COFFEE,5.0,600.0
7 - 13 APR 2025,2025,PLAZA SPAR,DARKM,5.0,600.0
