Week,Year,Store,CakeType,Delivered,DeliveryAmount,WeekIndex
31 MAR - 6 APR 2025,2025,BARBERTON PNP,CARROT,33.0,3300.0,1
31 MAR - 6 APR 2025,2025,BARBERTON PNP,CHOCOLATE,44.0,4400.0,1
31 MAR - 6 APR 2025,2025,BARBERTON PNP,COFFEE,18.0,1800.0,1
31 MAR - 6 APR 2025,2025,BARBERTON PNP,DARKM,63.0,6300.0,1
31 MAR - 6 APR 2025,2025,BARBERTON PNP,VANILLA,53.0,5300.0,1
31 MAR - 6 APR 2025,2025,ERMELO CHECKERS,CARROT,12.0,1435.1999999999998,1
31 MAR - 6 APR 2025,2025,ERMELO CHECKERS,CHOCOLATE,52.0,5860.400000000001,1
31 MAR - 6 APR 2025,2025,ERMELO CHECKERS,VANILLA,12.0,1352.4,1
31 MAR - 6 APR 2025,2025,ERMELO MERINO MALL,CARROT,10.0,1196.0,1
31 MAR - 6 APR 2025,2025,ERMELO MERINO MALL,CHOCOLATE,32.0,3606.4,1
31 MAR - 6 APR 2025,2025,ERMELO MERINO MALL,VANILLA,10.0,1127.0,1
31 MAR - 6 APR 2025,2025,HAZYVIEW CHECKERS,CARROT,76.0,9089.6,1
31 MAR - 6 APR 2025,2025,HAZYVIEW CHECKERS,CHOCOLATE,260.0,29302.0,1
31 MAR - 6 APR 2025,2025,HAZYVIEW CHECKERS,VANILLA,76.0,8565.2,1
31 MAR - 6 APR 2025,2025,HAZYVIEW SPAR,CARROT,5.0,600.0,1
31 MAR - 6 APR 2025,2025,HAZYVIEW SPAR,CHOCOLATE,10.0,1200.0,1
31 MAR - 6 APR 2025,2025,HAZYVIEW SPAR,COFFEE,5.0,600.0,1
31 MAR - 6 APR 2025,2025,HAZYVIEW SPAR,DARKM,10.0,1200.0,1
31 MAR - 6 APR 2025,2025,HAZYVIEW SPAR,VANILLA,5.0,600.0,1
31 MAR - 6 APR 2025,2025,HYPER CHECKERS ORCHADS,CARROT,28.0,3348.8,1
31 MAR - 6 APR 2025,2025,HYPER CHECKERS ORCHADS,CHOCOLATE,64.0,7212.8,1
31 MAR - 6 APR 2025,2025,HYPER CHECKERS ORCHADS,VANILLA,28.0,3155.6,1
31 MAR - 6 APR 2025,2025,KLIPFONTEIN,CARROT,10.0,1196.0,1
31 MAR - 6 APR 2025,2025,KLIPFONTEIN,CHOCOLATE,30.0,3381.0,1
31 MAR - 6 APR 2025,2025,KLIPFONTEIN,VANILLA,12.0,1352.4,1
31 MAR - 6 APR 2025,2025,LYDENBURG CHECKERS,CARROT,10.0,1196.0,1
31 MAR - 6 APR 2025,2025,LYDENBURG CHECKERS,CHOCOLATE,16.0,1803.2,1
31 MAR - 6 APR 2025,2025,LYDENBURG CHECKERS,VANILLA,8.0,901.6,1
31 MAR - 6 APR 2025,2025,MIDDELBRUG CHECKERS,CARROT,10.0,1196.0,1
31 MAR - 6 APR 2025,2025,MIDDELBRUG CHECKERS,CHOCOLATE,32.0,3606.4,1
31 MAR - 6 APR 2025,2025,MIDDELBRUG CHECKERS,VANILLA,10.0,1127.0,1
31 MAR - 6 APR 2025,2025,PLAZA SPAR,CHOCOLATE,12.0,1440.0,1
31 MAR - 6 APR 2025,2025,PLAZA SPAR,COFFEE,12.0,1440.0,1
31 MAR - 6 APR 2025,2025,PLAZA SPAR,DARKM,12.0,1440.0,1
31 MAR - 6 APR 2025,2025,PLAZA SPAR,VANILLA,4.0,480.0,1
31 MAR - 6 APR 2025,2025,RIVERSIDE MALL CHECKERS,CARROT,12.0,1435.1999999999998,1
31 MAR - 6 APR 2025,2025,RIVERSIDE MALL CHECKERS,CHOCOLATE,40.0,4508.0,1
31 MAR - 6 APR 2025,2025,RIVERSIDE MALL CHECKERS,VANILLA,24.0,2704.8,1
31 MAR - 6 APR 2025,2025,SAVEWAYS,CARROT,10.0,1196.0,1
31 MAR - 6 APR 2025,2025,SAVEWAYS,CHOCOLATE,32.0,3606.4,1
31 MAR - 6 APR 2025,2025,SAVEWAYS,VANILLA,10.0,1127.0,1
31 MAR - 6 APR 2025,2025,WITRIVIER CHECKERS,CARROT,16.0,1913.6,1
31 MAR - 6 APR 2025,2025,WITRIVIER CHECKERS,CHOCOLATE,44.0,4958.8,1
31 MAR - 6 APR 2025,2025,WITRIVIER CHECKERS,VANILLA,16.0,1803.2,1
7 - 13 APR 2025,2025,BARBERTON PNP,CARROT,34.0,3400.0,2
7 - 13 APR 2025,2025,BARBERTON PNP,CHOCOLATE,58.0,5800.0,2
7 - 13 APR 2025,2025,BARBERTON PNP,COFFEE,26.0,2600.0,2
7 - 13 APR 2025,2025,BARBERTON PNP,DARKM,45.0,4500.0,2
7 - 13 APR 2025,2025,BARBERTON PNP,VANILLA,32.0,3200.0,2
7 - 13 APR 2025,2025,ERMELO CHECKERS,CARROT,10.0,1196.0,2
7 - 13 APR 2025,2025,ERMELO CHECKERS,CHOCOLATE,44.0,4958.8,2
7 - 13 APR 2025,2025,ERMELO CHECKERS,VANILLA,10.0,1127.0,2
7 - 13 APR 2025,2025,ERMELO MERINO MALL,CARROT,10.0,1196.0,2
7 - 13 APR 2025,2025,ERMELO MERINO MALL,CHOCOLATE,24.0,2704.8,2
7 - 13 APR 2025,2025,ERMELO MERINO MALL,VANILLA,8.0,901.6,2
7 - 13 APR 2025,2025,GROVE SPAR,CARROT,5.0,600.0,2
7 - 13 APR 2025,2025,GROVE SPAR,CHOCOLATE,5.0,600.0,2
7 - 13 APR 2025,2025,GROVE SPAR,COFFEE,5.0,600.0,2
