Date,Category,Category Group,Amount,Year,Month
2025-01-21,TOLL GATE,Transportation,79.0,2025,1
2025-01-21,WASI,Raw Materials,3997.68,2025,1
2025-01-22,DIESEL,Other Expenses,800.0,2025,1
2025-01-22,LOWVELD PACKAGING,Other Expenses,476.75,2025,1
2025-01-22,MAKRO,Supplies,1153.3,2025,1
2025-01-23,DIESEL,Other Expenses,800.0,2025,1
2025-01-23,PNP,Other Expenses,94.99,2025,1
2025-01-23,SHOPRITE,Supplies,349.9,2025,1
2025-01-23,SPICE AND PACK,Other Expenses,9739.66,2025,1
2025-01-23,TBANTU,Other Expenses,180.0,2025,1
2025-01-23,WAGES,Labor,9970.0,2025,1
2025-01-23,WASI,Raw Materials,6275.5,2025,1
2025-01-24,DIESEL,Other Expenses,800.0,2025,1
2025-01-24,DIESEL,Other Expenses,1087.95,2025,1
2025-01-24,LOWVELD PACKAGING,Other Expenses,98.28,2025,1
2025-01-24,LOWVELD PACKAGING,Other Expenses,65.52,2025,1
2025-01-24,WAGES,Labor,6090.0,2025,1
2025-01-25,ALZU,Other Expenses,155.4,2025,1
2025-01-25,HEIDEL EGGS,Other Expenses,2400.0,2025,1
2025-01-25,TOTAL SHELL,Other Expenses,83.4,2025,1
2025-01-26,AE BARB,Other Expenses,98.0,2025,1
2025-01-26,WASI,Raw Materials,6123.48,2025,1
2025-01-27,BACK 2 BASICS,Other Expenses,60.0,2025,1
2025-01-27,DIESEL,Other Expenses,800.0,2025,1
2025-01-27,MULTISAVE,Other Expenses,240.0,2025,1
2025-01-27,WASI,Raw Materials,5463.58,2025,1
2025-01-28,CHIPKINS,Raw Materials,12186.33,2025,1
2025-01-28,DIESEL,Other Expenses,845.04,2025,1
2025-01-28,ELECTRICITY/AE BARB CS,Utilities,1560.0,2025,1
2025-01-28,FAMILY STORE,Other Expenses,302.99,2025,1
2025-01-28,SHOPRITE,Supplies,244.93,2025,1
2025-01-28,SOAP CENTRE,Other Expenses,464.0,2025,1
2025-01-28,TOLL GATE,Transportation,79.0,2025,1
2025-01-28,TOLL GATE,Transportation,79.0,2025,1
2025-01-28,WASI,Raw Materials,39.99,2025,1
2025-01-28,WASI,Raw Materials,5752.52,2025,1
2025-01-29,DIESEL,Other Expenses,800.16,2025,1
2025-01-30,DIESEL,Other Expenses,800.0,2025,1
2025-01-30,OBARO,Other Expenses,204.0,2025,1
2025-01-30,SHOPRITE,Supplies,244.93,2025,1
2025-01-30,SPICE AND PACK,Other Expenses,7157.54,2025,1
2025-01-30,WASI,Raw Materials,6857.43,2025,1
2025-01-31,AIRTIME,Other Expenses,30.0,2025,1
2025-01-31,DIESEL,Other Expenses,743.79,2025,1
2025-01-31,ELECTRICITY,Utilities,1500.0,2025,1
2025-01-31,HEIDEL EGGS,Other Expenses,6000.0,2025,1
2025-01-31,OBARO,Other Expenses,252.0,2025,1
2025-02-01,DIESEL,Other Expenses,800.16,2025,2
2025-02-01,PNP,Other Expenses,242.34,2025,2
2025-02-01,WAGES,Labor,6900.0,2025,2
2025-02-01,WASI,Raw Materials,6232.66,2025,2
2025-02-03,BACK2BASICS,Other Expenses,312.0,2025,2
2025-02-03,DIESEL/OIL,Other Expenses,890.0,2025,2
2025-02-03,PNP,Other Expenses,1667.37,2025,2
2025-02-03,SOAP CENTRE,Other Expenses,720.0,2025,2
2025-02-03,WASI,Raw Materials,6436.48,2025,2
2025-02-04,DIESEL,Other Expenses,800.0,2025,2
2025-02-04,SHOPRITE,Supplies,349.9,2025,2
2025-02-04,TBANTU,Other Expenses,184.0,2025,2
2025-02-04,TOLL GATE,Transportation,79.0,2025,2
2025-02-04,TOLL GATE,Transportation,79.0,2025,2
2025-02-04,WASI,Raw Materials,39.99,2025,2
2025-02-04,WASI,Raw Materials,6851.51,2025,2
2025-02-04,XTREME MOTOR SPARES,Other Expenses,250.0,2025,2
2025-02-05,CHIPKINS,Raw Materials,24863.0,2025,2
2025-02-05,DIESEL,Other Expenses,800.0,2025,2
2025-02-06,DIESEL,Other Expenses,800.0,2025,2
2025-02-06,FAMILY STORE,Other Expenses,439.98,2025,2
2025-02-06,HYPER SWEETS,Raw Materials,1200.0,2025,2
2025-02-06,MAKRO,Supplies,509.8,2025,2
2025-02-06,PNP,Other Expenses,587.76,2025,2
2025-02-06,SHOPRITE,Supplies,279.92,2025,2
